LabVIEW					
Separator	Tab				
Decimal_Separator	.				
Date	17/02/2021				
					
Location		1/4L	1/2L	3/4L	
Time	Load (Mean)	WG 16 (Mean)	WG 4 (Mean)	WG 2 (Mean)	Comment
sec	kN	mm	V	mm	
0	1.675066	384.688421	6.084423719	391.618595	
1.088109	1.69221	384.685182	6.084314084	391.616925	
2.141263	1.699319	384.685712	6.084364051	391.617226	
3.193847	1.710149	384.690274	6.084472609	391.620198	
4.245195	1.716854	384.687172	6.084404004	391.618838	
5.295458	1.679594	384.687872	6.084417216	391.618874	
6.387046	1.716368	384.683761	6.084355985	391.617058	
7.439557	1.682324	384.687164	6.08433905	391.618066	
8.503709	1.729021	384.686255	6.084411793	391.618747	
9.55386	1.704034	384.68891	6.084424657	391.619225	
10.630663	1.71436	384.689352	6.084447815	391.619484	
11.685214	1.686342	384.686038	6.084390547	391.617564	
12.737209	1.720013	384.687278	6.084414191	391.617826	
13.790779	1.645439	384.685071	6.084330045	391.616571	
14.842809	1.730013	384.686268	6.084376569	391.617475	
15.899178	1.676227	384.687632	6.084402927	391.618971	
16.953464	1.690768	384.688248	6.084457447	391.619004	
18.005864	1.734359	384.683486	6.08440004	391.616216	
19.054364	1.694663	384.688327	6.084392528	391.618546	
20.110891	1.674462	384.68633	6.084404839	391.617874	
21.16163	1.668533	384.688911	6.084353584	391.618711	
22.210703	1.702853	384.684972	6.084305079	391.617313	
23.262717	1.636057	384.689277	6.084377925	391.619462	
24.313094	1.654975	384.688765	6.084377612	391.618693	
25.366201	1.663052	384.688148	6.084472748	391.619852	
26.417308	1.676412	384.689433	6.084388982	391.619129	
27.46802	1.624329	384.689402	6.084323228	391.618792	
28.517318	1.650264	384.687925	6.084408246	391.61906	
29.568467	1.670938	384.689551	6.084455988	391.619777	
30.621395	1.663162	384.689761	6.084417947	391.619317	
31.675612	1.628149	384.68614	6.08435428	391.616995	
32.726565	1.685412	384.687483	6.084353723	391.617873	
33.777022	1.66902	384.686578	6.084356018	391.618111	
34.828295	1.640504	384.686156	6.084382792	391.618469	
35.88042	1.641594	384.685779	6.084310745	391.617383	
36.931665	1.667599	384.686945	6.084372813	391.618812	
37.982299	1.640655	384.68983	6.084355254	391.618763	
39.033672	1.629703	384.686966	6.084337277	391.617007	
40.087184	1.63712	384.688925	6.084408072	391.619385	
41.138037	1.650179	384.685333	6.08432702	391.617444	
42.190141	1.691335	384.684278	6.084337694	391.617028	
43.242229	1.672008	384.688365	6.084459046	391.620252	
44.292023	1.686868	384.686907	6.084337451	391.616751	
45.34223	1.673287	384.685325	6.084391311	391.61724	
46.391743	1.690914	384.685867	6.084372049	391.616845	
47.443962	1.630424	384.686435	6.084364433	391.618293	
48.497246	1.680362	384.684992	6.084370623	391.617046	
49.550336	1.619837	384.686046	6.084309043	391.617635	
50.602997	1.618677	384.688787	6.084384601	391.619614	
51.6552	1.652838	384.690057	6.084460369	391.619825	
52.70474	1.620799	384.684748	6.084313598	391.616104	
53.754353	1.610124	384.688588	6.084413601	391.619116	
54.804729	1.647396	384.687566	6.084385921	391.618417	
55.857141	7.019215	384.598405	6.083691289	391.556469	
56.907756	13.087694	384.457045	6.084535266	391.433168	
57.959536	8.040499	384.482051	6.081984976	391.433099	
59.011812	3.082021	384.577541	6.080425677	391.505316	
60.063267	0.694501	384.643613	6.081311379	391.565254	
61.115989	0.691293	384.658038	6.08241152	391.582128	
62.168282	1.501692	384.658833	6.083110047	391.582751	
63.221149	2.457589	384.656383	6.083990326	391.583176	
64.269801	3.516351	384.64249	6.083842999	391.583308	
65.319481	4.275836	384.622784	6.083878569	391.579985	
66.369942	4.112844	384.618852	6.083714378	391.580158	
67.422238	3.625742	384.614298	6.083464612	391.5779	
68.472282	3.346726	384.614271	6.083412143	391.579534	
69.523477	3.124872	384.615125	6.083246386	391.579767	
70.579103	3.024708	384.615724	6.083124999	391.578607	
71.6299	3.205697	384.612916	6.083320414	391.578801	
72.68282	3.625969	384.616378	6.083673418	391.581249	
73.734717	3.759441	384.61238	6.083682284	391.579245	
74.787596	3.867993	384.615529	6.083918069	391.581025	
75.838545	3.982832	384.615231	6.083920677	391.579719	
76.88996	4.084896	384.615476	6.084010144	391.580407	
77.942456	4.185594	384.613773	6.084018628	391.577999	
78.997594	4.275761	384.617201	6.084205769	391.580643	
80.05075	4.37158	384.6136	6.084183307	391.577928	
81.10077	4.458833	384.616635	6.084251634	391.579898	
82.153475	4.524121	384.612664	6.084219054	391.577354	
83.203817	4.589087	384.618205	6.084311337	391.580046	
84.254838	4.679173	384.613078	6.084303584	391.58005	
85.305966	4.723497	384.611396	6.084381924	391.580204	
86.356927	4.785233	384.608738	6.084340163	391.579316	
87.408174	4.84325	384.609672	6.084345239	391.579793	
88.457755	4.902254	384.606533	6.084148363	391.577611	
89.508408	4.991507	384.606987	6.08427194	391.579142	
90.558399	5.058926	384.606275	6.08410907	391.57756	
91.610145	5.144703	384.60421	6.084148431	391.575404	
92.66195	5.244527	384.600507	6.084044639	391.57381	
93.712015	5.357706	384.598954	6.084109591	391.573069	
94.762078	5.448731	384.596347	6.084106184	391.568953	
95.812604	5.561091	384.591633	6.083879125	391.561125	
96.864965	5.662882	384.594938	6.083919981	391.558444	
97.915327	5.779253	384.590826	6.083949781	391.556794	
98.966094	5.911135	384.584676	6.08378799	391.552194	
100.015196	6.013714	384.582712	6.083632837	391.550689	
101.065399	6.133887	384.582665	6.083788719	391.54998	
102.118047	6.247374	384.575847	6.083606063	391.546998	
103.169243	6.348851	384.574365	6.083542674	391.544356	
104.22282	6.432673	384.576698	6.08359744	391.545042	
105.275399	6.507671	384.573992	6.083511625	391.542466	
106.32715	6.559424	384.570554	6.083424451	391.538231	
107.376539	6.625548	384.570494	6.083428972	391.539069	
108.428935	6.680792	384.570843	6.083335194	391.536998	
109.481391	6.726224	384.568325	6.08335929	391.535233	
110.532113	6.788183	384.566649	6.083238216	391.532278	
111.583072	6.86573	384.568157	6.08347195	391.532696	
